sha256,first_relative_path,reused_by,source_page_url,notes
2b9838afd8a7d581cceea4bd37d569d94f2b0481b8712db580f7cb14519378a6,assets/downloaded/ch02/text1_expanded/ch02_s041_r1_python-pandas-data-preprocessing-missing-val.jpg,ch02:s060;ch02:s062;ch02:s067;ch02:s068;ch02:s071;ch02:s073;ch02:s097;ch02:s117;ch02:s118;ch02:s122;ch02:s123;ch02:s125;ch02:s126;ch02:s130,https://www.bing.com/images/search?q=Python+pandas+data+preprocessing+workflow+missing+values+feature+scaling+diagram+Python+data+preprocessing+materials+dataset+workflow+ch02+060,expanded loose duplicate
059585fe1782810380923e3127f3828ed477ea1db44329dbfde401c6ea3843d7,assets/downloaded/ch03/text1_expanded/ch03_s018_r1_bayes-theorem-probability-prior-posterior-li.jpg,ch03:s029;ch03:s041;ch03:s047;ch03:s048;ch03:s051;ch03:s079;ch03:s088;ch03:s095;ch03:s096;ch03:s103;ch03:s118;ch03:s120;ch03:s122;ch08:s045;ch08:s051;ch08:s057;ch08:s066;ch08:s090,https://www.bing.com/images/search?q=Bayes+theorem+diagram+probability+prior+posterior+likelihood+Bayes+theorem+probability+inference+diagram+ch03+029,expanded loose duplicate
4d3d2ccfcc76109435b4b994b9b397615c4125a1dce52cd4ef3afdcb18d1195a,assets/downloaded/ch03/text1_expanded/ch03_s086_r1_bayesian-optimization-active-learning-loop-a.jpg,ch03:s121;ch05:s109,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+Bayes+theorem+probability+inference+diagram+ch03+121,expanded loose duplicate
3b5c20a1df33cf44172c5ee07bac114e322b7f259532c3668f3a04a599772118,assets/downloaded/ch04/text1_expanded/ch04_s042_r1_machine-learning-feature-engineering-model-t.jpg,ch04:s046;ch04:s057;ch04:s059;ch04:s066;ch04:s073;ch04:s075;ch04:s097;ch04:s099;ch04:s102;ch04:s115;ch04:s117;ch04:s123;ch10:s019;ch10:s075;ch10:s080;ch10:s083,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+ch04+046,expanded loose duplicate
49be14db440c0b13652c6737fb74fbacd9c05d83498852fd8c1b458676dc3210,assets/downloaded/ch02/text1_expanded/ch02_s003_r1_python-pandas-data-preprocessing-dataset-inf.jpg,ch04:s128,https://www.bing.com/images/search?q=Python+pandas+data+preprocessing+workflow+missing+values+feature+scaling+diagram+machine+learning+materials+property+prediction+workflow+ch04+128,expanded loose duplicate
e87947a7876be2a88c1ec43f11419cfcef41cf96a5307f0b18dcaec79cb8f4de,assets/downloaded/ch05/text1_expanded/ch05_s101_r1_python-pandas-data-preprocessing-missing-val.jpg,ch05:s118;ch05:s127;ch06:s063;ch06:s079;ch06:s121;ch09:s120;ch10:s108;ch10:s109,https://www.bing.com/images/search?q=Python+pandas+data+preprocessing+workflow+missing+values+feature+scaling+diagram+deep+learning+microstructure+recognition+CNN+architecture+ch05+118,expanded loose duplicate
ba5322deb0bd2f1b02031d108cb955d3c2f6931e7a629a14b07fda81caf84130,assets/downloaded/ch06/text1_expanded/ch06_s005_r1_large-language-model-transformer-prompt-engi.jpg,ch06:s072;ch06:s095;ch06:s102;ch06:s104,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+ch06+072,expanded loose duplicate
dc4094ae4cf990f54b7f1a5f90a602c815ddcfae1ad93ea189c43006e2113a5a,assets/downloaded/ch06/text1_expanded/ch06_s088_r1_large-language-model-transformer-attention-m.jpg,ch06:s124,https://www.bing.com/images/search?q=large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+large+language+model+Transformer+attention+mechanism+prompt+engineering+workflow+ch06+124,expanded loose duplicate
f707924462d1fa00e5c27f3c13e1f840dd749d1bab2836553c631b9cbbdc08e6,assets/downloaded/ch07/text1_expanded/ch07_s007_r1_knowledge-graph-rag-vector-database-retrieva.jpg,ch07:s022;ch07:s032;ch07:s040;ch07:s054;ch07:s057;ch07:s061;ch07:s078;ch07:s079;ch07:s080;ch07:s082;ch07:s085;ch07:s088;ch07:s089;ch07:s093;ch07:s102;ch07:s104;ch07:s105;ch07:s107;ch07:s114;ch07:s115;ch07:s117;ch07:s119;ch07:s122;ch09:s039;ch09:s040;ch10:s092,https://www.bing.com/images/search?q=retrieval+augmented+generation+workflow+vector+database+knowledge+graph+diagram+knowledge+graph+retrieval+augmented+generation+workflow+vector+database+ch07+022,expanded loose duplicate
3ed0b1923df40ce8c27b06d6b4e9e12d2b284a55436966f3438eea2dc9e6ab3f,assets/downloaded/ch07/text1_expanded/ch07_s010_r1_microstructure-sem-ebsd-knowledge-graph-retr.jpg,ch07:s123,https://www.bing.com/images/search?q=ch07+slide+123+knowledge+graph+RAG+vector+database+retrieval+augmented+generation,expanded loose duplicate
496440afd09c4e57a4b07c36d688eaffec79bd7197e2b5b373a10bf20fd9e2d9,assets/downloaded/ch08/text1_expanded/ch08_s023_r1_agent-active-learning-bayesian-optimization.jpg,ch08:s041;ch08:s047;ch08:s050;ch08:s074;ch08:s085;ch08:s088;ch09:s109;ch09:s112;ch10:s087;ch10:s088;ch10:s090;ch10:s100,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+ch08+041,expanded loose duplicate
e63f328bf823c932eceed3777b1e9efe8cba846d8a7371ebabb6aa0cddc384c2,assets/downloaded/ch08/text1_expanded/ch08_s039_r1_bayesian-optimization-active-learning-loop-a.jpg,ch08:s073;ch08:s078,https://www.bing.com/images/search?q=Bayesian+optimization+active+learning+loop+acquisition+function+AI+agent+workflow+AI+agent+Bayesian+optimization+active+learning+loop+ch08+073,expanded loose duplicate
627b67f49ac0c2d5a566804b35931a420adcec7a143a54a2ef47f4d7c3bebff7,assets/downloaded/ch09/text1_expanded/ch09_s032_r1_database-high-throughput-discovery-python-pa.jpg,ch09:s103,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+materials+database+high-throughput+materials+design+workflow+ch09+103,expanded loose duplicate
5024315f094dc215ce8a844b4e417491a2857d2d36c05ccc760b6eef6532d4fa,assets/downloaded/ch09/text1_expanded/ch09_s078_r1_database-high-throughput-discovery-infograph.jpg,ch09:s105,https://www.bing.com/images/search?q=materials+database+high-throughput+materials+design+workflow+9.6.9+%E5%A4%9A%E4%BF%9D%E7%9C%9F%E8%9E%8D%E5%90%88%E4%B8%AD%E7%9A%84%E6%95%B0%E6%8D%AE%E6%B3%84%E6%BC%8F+concept+diagram+open+educational+resource+ch09+105,expanded loose duplicate
47b48fc8210ee90118a79f8d2ca10312fbe9abf4dcf248207c5dd990e16b2af1,assets/downloaded/ch06/text1_expanded/ch06_s111_r1_trustworthy-framework-data-privacy-fairness.jpg,ch10:s032;ch10:s091;ch10:s103;ch10:s112,https://www.bing.com/images/search?q=trustworthy+AI+framework+data+privacy+fairness+explainability+robustness+diagram+trustworthy+AI+data+security+privacy+fairness+explainability+workflow+ch10+032,expanded loose duplicate
69fd63ab8f6a2b856eb10b35f1196520105fcc0b7c7d7e7e260ffc79a1e3f8ae,assets/downloaded/ch10/text1_expanded/ch10_s009_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10:s107,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+trustworthy+AI+data+security+privacy+fairness+explainability+workflow+ch10+107,expanded loose duplicate
